mode,region,arm,seed,gain,sigma,change_snr,readout_base,recall_at_fpr10,auroc,auprc,wall_s
gain,AL,degree,4,2.0,0.0,0.11724,7.8756,0.6494252873563219,0.8779478795085216,0.9828036085892708,96.7
gain,AL,random,4,4.0,0.0,0.06302,15.6522,0.6558908045977011,0.8908334984806447,0.984889894502368,97.4
gain,AL,connectome,4,16.0,0.0,0.15951,4.3655,0.7370689655172413,0.9203577090764964,0.9891237046761464,117.4
gain,AL,degree,4,32.0,0.0,0.11724,7.8756,0.6831896551724138,0.9057091425551592,0.9869445453450808,181.6
gain,AL,random,2,0.25,0.0,0.06296,15.7769,0.5941091954022989,0.8618212445501388,0.9797210112616852,119.3
gain,AL,connectome,2,1.0,0.0,0.15951,4.3655,0.7054597701149425,0.9153331021270974,0.988329287730878,184.8
gain,AL,degree,2,2.0,0.0,0.11711,7.9083,0.7133620689655172,0.908202866957326,0.987496826672136,60.7
gain,AL,random,2,4.0,0.0,0.06296,15.7769,0.7191091954022989,0.910263079667063,0.987758014804092,68.2
gain,AL,connectome,2,16.0,0.0,0.15951,4.3655,0.7406609195402298,0.913627956136874,0.9882018965049024,117.1
gain,AL,degree,2,32.0,0.0,0.11711,7.9083,0.6910919540229885,0.8920803606817281,0.9853465618665672,180.8
