Unnamed: 0,update,total_updates,T,FPS,window,mean,median,min,max,model
180,184,781,23680,77,50,-68.48808340000001,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
181,185,781,23808,77,50,-68.48808340000001,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
182,186,781,23936,77,50,-68.36952176000001,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
183,187,781,24064,78,50,-68.36952176000001,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
184,188,781,24192,78,50,-68.36952176000001,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
185,189,781,24320,78,50,-67.89087083999999,-67.1177045,-134.098873,104.490476,rnn_param_matched
186,190,781,24448,78,50,-67.89087083999999,-67.1177045,-134.098873,104.490476,rnn_param_matched
187,191,781,24576,78,50,-67.82864732,-67.1177045,-134.098873,104.490476,rnn_param_matched
188,192,781,24704,78,50,-67.82864732,-67.1177045,-134.098873,104.490476,rnn_param_matched
189,193,781,24832,78,50,-67.57931748,-67.1177045,-134.098873,104.490476,rnn_param_matched
190,194,781,24960,78,50,-67.57931748,-67.1177045,-134.098873,104.490476,rnn_param_matched
191,195,781,25088,79,50,-67.57931748,-67.1177045,-134.098873,104.490476,rnn_param_matched
192,196,781,25216,79,50,-68.63846595999999,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
193,197,781,25344,79,50,-68.63846595999999,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
194,198,781,25472,79,50,-69.0298001,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
195,199,781,25600,79,50,-69.0298001,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
196,200,781,25728,79,50,-69.16438201999999,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
197,201,781,25856,77,50,-69.16438201999999,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
198,202,781,25984,77,50,-69.16438201999999,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
199,203,781,26112,77,50,-69.297208,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
200,204,781,26240,77,50,-69.297208,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
201,205,781,26368,77,50,-68.16018964,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
202,206,781,26496,77,50,-68.16018964,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
203,207,781,26624,78,50,-70.10507128,-71.81331499999999,-134.098873,104.490476,rnn_param_matched
204,208,781,26752,78,50,-70.10507128,-71.81331499999999,-134.098873,104.490476,rnn_param_matched
205,209,781,26880,78,50,-70.10507128,-71.81331499999999,-134.098873,104.490476,rnn_param_matched
206,210,781,27008,78,50,-69.07748776,-71.81331499999999,-127.447812,104.490476,rnn_param_matched
207,211,781,27136,78,50,-69.07748776,-71.81331499999999,-127.447812,104.490476,rnn_param_matched
208,212,781,27264,78,50,-68.82824452,-71.81331499999999,-127.447812,104.490476,rnn_param_matched
209,213,781,27392,78,50,-68.82824452,-71.81331499999999,-127.447812,104.490476,rnn_param_matched
210,214,781,27520,78,50,-69.29738834,-75.5611165,-127.447812,104.490476,rnn_param_matched
211,215,781,27648,78,50,-69.29738834,-75.5611165,-127.447812,104.490476,rnn_param_matched
212,216,781,27776,79,50,-69.29738834,-75.5611165,-127.447812,104.490476,rnn_param_matched
213,217,781,27904,79,50,-68.54551022,-71.81331499999999,-127.447812,104.490476,rnn_param_matched
214,218,781,28032,79,50,-68.54551022,-71.81331499999999,-127.447812,104.490476,rnn_param_matched
215,219,781,28160,79,50,-68.54149595999999,-71.81331499999999,-127.447812,104.490476,rnn_param_matched
216,220,781,28288,79,50,-68.54149595999999,-71.81331499999999,-127.447812,104.490476,rnn_param_matched
217,221,781,28416,77,50,-71.7420851,-71.81331499999999,-127.447812,-31.15754,rnn_param_matched
218,222,781,28544,77,50,-71.7420851,-71.81331499999999,-127.447812,-31.15754,rnn_param_matched
219,223,781,28672,77,50,-71.7420851,-71.81331499999999,-127.447812,-31.15754,rnn_param_matched
220,224,781,28800,77,50,-71.87634394,-71.81331499999999,-127.447812,-37.870482,rnn_param_matched
221,225,781,28928,77,50,-71.87634394,-71.81331499999999,-127.447812,-37.870482,rnn_param_matched
222,226,781,29056,77,50,-72.29322149999999,-71.81331499999999,-127.447812,-37.870482,rnn_param_matched
223,227,781,29184,77,50,-72.29322149999999,-71.81331499999999,-127.447812,-37.870482,rnn_param_matched
224,228,781,29312,78,50,-72.44866904,-71.81331499999999,-127.447812,-37.870482,rnn_param_matched
225,229,781,29440,78,50,-72.44866904,-71.81331499999999,-127.447812,-37.870482,rnn_param_matched
226,230,781,29568,78,50,-72.44866904,-71.81331499999999,-127.447812,-37.870482,rnn_param_matched
227,231,781,29696,78,50,-71.29522506,-67.6949765,-127.447812,-37.870482,rnn_param_matched
228,232,781,29824,78,50,-71.29522506,-67.6949765,-127.447812,-37.870482,rnn_param_matched
229,233,781,29952,78,50,-72.00891512,-71.81331499999999,-127.447812,-37.870482,rnn_param_matched
230,234,781,30080,78,50,-72.00891512,-71.81331499999999,-127.447812,-37.870482,rnn_param_matched
231,235,781,30208,78,50,-71.58774695999999,-69.7324515,-127.447812,-37.870482,rnn_param_matched
232,236,781,30336,78,50,-71.26382444000001,-67.863252,-127.447812,-37.870482,rnn_param_matched
233,237,781,30464,78,50,-71.26382444000001,-67.863252,-127.447812,-37.870482,rnn_param_matched
234,238,781,30592,79,50,-71.55277346,-67.863252,-127.447812,-37.870482,rnn_param_matched
235,239,781,30720,79,50,-71.55277346,-67.863252,-127.447812,-37.870482,rnn_param_matched
236,240,781,30848,79,50,-71.4338475,-67.863252,-127.447812,-37.870482,rnn_param_matched
237,241,781,30976,78,50,-71.33102326,-67.863252,-127.447812,-37.870482,rnn_param_matched
238,242,781,31104,78,50,-70.67014546,-66.1350865,-127.447812,-37.870482,rnn_param_matched
239,243,781,31232,78,50,-70.67014546,-66.1350865,-127.447812,-37.870482,rnn_param_matched
240,244,781,31360,78,50,-70.78905056,-66.1350865,-127.447812,-37.870482,rnn_param_matched
241,245,781,31488,78,50,-70.76490162,-66.1350865,-127.447812,-37.870482,rnn_param_matched
242,246,781,31616,78,50,-71.05415636,-66.1350865,-127.447812,-37.870482,rnn_param_matched
243,247,781,31744,78,50,-71.05415636,-66.1350865,-127.447812,-37.870482,rnn_param_matched
244,248,781,31872,78,50,-71.05415636,-66.1350865,-127.447812,-37.870482,rnn_param_matched
245,249,781,32000,78,50,-71.02905726,-65.507609,-127.447812,-37.870482,rnn_param_matched
246,250,781,32128,79,50,-71.02905726,-65.507609,-127.447812,-37.870482,rnn_param_matched
247,251,781,32256,79,50,-70.89154286,-65.507609,-127.447812,-37.870482,rnn_param_matched
248,252,781,32384,79,50,-70.89154286,-65.507609,-127.447812,-37.870482,rnn_param_matched
249,253,781,32512,79,50,-71.3659667,-65.507609,-127.447812,-37.870482,rnn_param_matched
250,254,781,32640,79,50,-71.3659667,-65.507609,-127.447812,-37.870482,rnn_param_matched
251,255,781,32768,79,50,-71.1506041,-65.507609,-127.447812,-37.870482,rnn_param_matched
252,256,781,32896,79,50,-71.13546658,-65.507609,-127.447812,-37.870482,rnn_param_matched
253,257,781,33024,79,50,-70.38265842000001,-64.578446,-127.447812,-37.870482,rnn_param_matched
254,258,781,33152,79,50,-70.38265842000001,-64.578446,-127.447812,-37.870482,rnn_param_matched
255,259,781,33280,79,50,-71.47108048000001,-64.578446,-171.152609,-37.870482,rnn_param_matched
256,260,781,33408,79,50,-72.04645894000001,-65.507609,-171.152609,-37.870482,rnn_param_matched
257,261,781,33536,79,50,-71.12197994,-64.578446,-171.152609,-37.870482,rnn_param_matched
258,262,781,33664,79,50,-71.12197994,-64.578446,-171.152609,-37.870482,rnn_param_matched
259,263,781,33792,79,50,-71.12197994,-64.578446,-171.152609,-37.870482,rnn_param_matched
260,264,781,33920,79,50,-68.46352144000001,-64.578446,-171.152609,93.801967,rnn_param_matched
261,265,781,34048,79,50,-68.92666554,-65.507609,-171.152609,93.801967,rnn_param_matched
262,266,781,34176,79,50,-69.10759316,-65.507609,-171.152609,93.801967,rnn_param_matched
263,267,781,34304,80,50,-70.10730366,-67.863252,-171.152609,93.801967,rnn_param_matched
264,268,781,34432,80,50,-70.10730366,-67.863252,-171.152609,93.801967,rnn_param_matched
265,269,781,34560,80,50,-70.78394458,-68.1725615,-171.152609,93.801967,rnn_param_matched
266,270,781,34688,80,50,-70.78394458,-68.1725615,-171.152609,93.801967,rnn_param_matched
267,271,781,34816,80,50,-71.52353867999999,-72.1226245,-171.152609,93.801967,rnn_param_matched
268,272,781,34944,80,50,-70.96027586,-70.4045475,-171.152609,93.801967,rnn_param_matched
269,273,781,35072,80,50,-71.29529396,-72.485411,-171.152609,93.801967,rnn_param_matched
270,274,781,35200,80,50,-71.29529396,-72.485411,-171.152609,93.801967,rnn_param_matched
271,275,781,35328,80,50,-71.29529396,-72.485411,-171.152609,93.801967,rnn_param_matched
272,276,781,35456,80,50,-72.15277836,-75.05112249999999,-171.152609,93.801967,rnn_param_matched
273,277,781,35584,80,50,-72.74396826,-75.05112249999999,-171.152609,93.801967,rnn_param_matched
274,278,781,35712,81,50,-72.74396826,-75.05112249999999,-171.152609,93.801967,rnn_param_matched
275,279,781,35840,81,50,-73.77597501999999,-76.43595300000001,-171.152609,93.801967,rnn_param_matched
276,280,781,35968,81,50,-74.06828181999998,-76.43595300000001,-171.152609,93.801967,rnn_param_matched
277,281,781,36096,79,50,-74.06828181999998,-76.43595300000001,-171.152609,93.801967,rnn_param_matched
278,282,781,36224,79,50,-75.65420393999999,-77.509026,-171.152609,93.801967,rnn_param_matched
279,283,781,36352,79,50,-75.67218703999998,-77.95860350000001,-171.152609,93.801967,rnn_param_matched
280,284,781,36480,79,50,-75.67218703999998,-77.95860350000001,-171.152609,93.801967,rnn_param_matched
