root_id,super_class,cell_class,cell_sub_class,cell_type,side
720575940604809918,visual_projection,,,LLPC1,left
720575940604810208,optic,ME>LO,,Tm9,right
720575940604810464,optic,ME>LO,,Tm21,left
720575940604810976,optic,ME>LO,,Tm20,left
720575940604811692,optic,LO>LOP,,T5b,right
720575940604812204,optic,ME>LOP,,T4c,right
720575940604812465,optic,ME>LOP,,T4a,left
720575940604812768,optic,LOP,,LPi06,left
720575940604813233,optic,LOP>LO,,Tlp14,right
720575940604813280,optic,ME,,Sm02,left
720575940604814252,optic,ME,,Pm11,left
720575940604814816,optic,LOP>LO,,Tlp4,right
720575940604815462,visual_projection,,,LPTe01,left
720575940604818092,optic,ME>LOP,,T4b,right
720575940604818144,optic,ME>LO,,Tm4,right
720575940604820140,optic,LOP>ME.LO,,Y3,right
720575940604821937,optic,ME,tangential,Pm01,left
720575940604825824,optic,ME>LO,,Tm21,right
720575940604826592,optic,ME,,yDm8,left
720575940604827825,optic,LOP>ME.LO,,Y3,left
720575940604828128,optic,ME>LOP,,T4a,left
720575940604828849,optic,ME>LOP,,T4a,right
720575940604829152,optic,ME>LO,,Tm4,right
720575940604830129,optic,LO>LOP,,T5a,left
720575940604830432,optic,ME>LO.LOP,,TmY5a,right
720575940604831456,optic,ME>LOP,,T4a,right
720575940604834494,visual_projection,,,LC17,left
720575940604835756,optic,ME>LOP,,T4b,right
720575940604836012,optic,ME>LOP,,T4a,right
720575940604837344,optic,ME>LO,,Tm20,right
720575940604839084,optic,ME>LO,,Tm1,right
720575940604843697,optic,ME,,Mi9,left
720575940604847584,optic,ME,,Dm2,left
720575940604851936,optic,ME,,Dm10,right
720575940604853538,optic,ME>LO,,T3,left
720575940604867500,optic,ME>LO,,T2,right
720575940604870316,optic,ME,,Mi9,left
720575940604872224,optic,ME>LO,,Tm5c,left
720575940604872416,optic,ME>LO,,Tm9,right
720575940604875744,optic,LO>LOP,,T5b,right
720575940604877024,optic,ME>LO,,MLt4,left
720575940604880608,optic,ME,,Mi13,left
720575940604880864,optic,ME>LA,,T1,left
720575940604885350,optic,ME>LO,,Tm1,right
720575940604885728,optic,ME>LO,,T2a,left
720575940604885792,visual_projection,,,MeTu1,right
720575940604887986,optic,ME,,Mi9,left
720575940604889056,optic,ME>LOP,,T4a,left
720575940604889376,visual_projection,,,LLPC2,right
720575940604889568,optic,LA>ME,L1-5,L3,right
720575940604891680,optic,ME,,Mi9,right
720575940604892640,optic,ME>LO,,Tm20,right
720575940604893868,visual_projection,,,LLPC1,right
720575940604894432,optic,ME,,Sm06,right
720575940604894688,optic,LO>LOP,,T5a,left
720575940604895148,optic,ME>LO,,Tm1,right
720575940604896684,optic,ME>LO.LOP,,TmY31,right
720575940604897248,optic,ME>LO,,Tm3,right
720575940604898150,visual_projection,,,TmY14,left
720575940604898662,optic,ME>LOP,,T4c,right
720575940604899040,optic,ME>LO.LOP,,Tm27,left
720575940604900832,optic,LO>LOP,,T5c,right
720575940604902921,optic,ME>LOP,,T4d,right
720575940604903298,visual_projection,,,LC17,left
720575940604904160,optic,ME>LO,,T2a,left
720575940604907710,visual_projection,,,LC15,left
720575940604908716,optic,ME>LO,,T2,right
720575940604909246,optic,ME>LO,,Tm3,left
720575940604910508,optic,LA>ME,L1-5,L2,right
720575940604912608,optic,LO>LOP,,T5c,left
720575940604914534,optic,ME,,Dm15,left
720575940604916704,optic,ME>LO,,T2a,left
720575940604922982,visual_projection,,,LC9,left
720575940604923616,optic,ME>LO,,T3,right
720575940604924896,optic,ME>LO,,T2a,left
720575940604926176,optic,ME>LO,,Tm40,left
720575940604927456,optic,ME>LO,,Tm5f,left
720575940604927968,optic,ME>LO.LOP,,TmY3,left
720575940604929894,visual_projection,,,LLPC3,left
720575940604931686,optic,ME>LO,,T2a,left
720575940604931908,sensory,visual,,R1-6,left
720575940604932017,visual_projection,,,LC22,right
720575940604933344,visual_projection,bilateral,,LT55,right
720575940604934980,sensory,visual,,R1-6,left
720575940604935089,visual_projection,,,LC10e,right
720575940604936364,optic,ME>LA,,C3,left
720575940604940716,optic,LA>ME,L1-5,L2,left
720575940604940768,optic,ME>LO,,Tm3,left
720575940604941024,optic,ME,columnar,Mi4,right
720575940604942048,optic,ME>LO,,T2a,left
720575940604942816,optic,ME,,Dm15,left
720575940604943394,optic,ME>LOP,,T4b,left
720575940604943906,optic,ME>LOP,,T4c,left
720575940604946720,optic,ME>LOP,,T4d,right
720575940604947558,visual_projection,,,MeTu4a,left
720575940604947657,optic,ME,columnar,Mi1,right
720575940604947680,optic,LA>ME,L1-5,L5,right
720575940604949472,optic,ME>LO.LOP,,TmY3,left
720575940604949705,optic,ME,,Dm2,left
720575940604951840,optic,ME>LOP,,T4c,left
720575940604952544,optic,ME>LO,,T2a,right
720575940604957216,optic,ME>LO.LOP,,TmY5a,left
720575940604957920,optic,ME,,Mi9,left
720575940604957984,optic,ME,,Mi4,left
720575940604958688,optic,LA>ME,L1-5,L5,right
720575940604959712,optic,ME>LOP,,T4b,left
720575940604960992,optic,LA>ME,L1-5,L4,right
720575940604962220,optic,LO>LOP,,T5b,left
720575940604962528,optic,LA>ME,L1-5,L3,left
720575940604963552,optic,LA>ME,L1-5,L2,left
720575940604964576,optic,LA>ME,L1-5,L5,right
720575940604965548,optic,LO>LOP,,T5a,left
720575940604965600,optic,LOP>ME.LO,,Y1,right
720575940604968108,optic,ME>LO,,T3,right
720575940604968876,optic,ME,,yDm8,left
720575940604970976,optic,ME,,Dm15,right
720575940604971488,optic,ME>LO,,Tm5b,left
720575940604973536,optic,ME>LO,,T2,left
720575940604973792,optic,ME>LO,,Tm25,left
720575940604973856,optic,ME>LO,,T3,right
720575940604974304,optic,ME>LO,,T2a,left
720575940604979116,optic,LO>LOP,,T5a,left
720575940604979680,optic,LOP>ME.LO,,Y4,right
720575940604983398,optic,ME>LOP,,T4c,right
720575940604984800,sensory,visual,,R1-6,left
720575940604986592,optic,ME,,Mi10,right
720575940604990124,optic,ME>LO.LOP,,Tm27,right
720575940604991660,optic,ME>LO,,Tm37,right
