io,arm,variant,seed,fraction,epoch,train_loss,val_auprc,val_loss
bio,dense,standard,4,5,2,1.1870397925376892,0.7187,1.1878
bio,dense,standard,4,5,3,0.6402436047792435,0.8422,1.0129
bio,dense,standard,4,5,4,0.3230550289154053,0.7572,0.7216
bio,dense,standard,4,5,5,0.3180808126926422,0.8411,0.8375
bio,dense,standard,4,5,6,0.3130396753549576,0.8278,0.8774
bio,dense,standard,4,5,7,0.3130828291177749,0.7355,0.7565
bio,dense,standard,4,5,8,0.318616658449173,0.7164,0.7735
bio,dense,standard,4,5,9,0.3197666704654693,0.7121,0.87
bio,dense,standard,4,5,10,0.3209090828895569,0.8235,0.7843
generic,connectome,standard,2,5,1,0.8445063531398773,0.9528,1.6828
generic,connectome,standard,2,5,2,0.6552576124668121,0.9383,0.6379
generic,connectome,standard,2,5,3,0.3170227259397506,0.9578,0.7732
generic,connectome,standard,2,5,4,0.2900234162807464,0.9395,0.4822
generic,connectome,standard,2,5,5,0.2371215224266052,0.987,0.3915
generic,connectome,standard,2,5,6,0.2209762185811996,0.9828,0.2734
generic,connectome,standard,2,5,7,0.1959796547889709,0.9718,0.5478
generic,connectome,standard,2,5,8,0.196239948272705,0.9517,0.3941
generic,connectome,standard,2,5,9,0.1755203157663345,0.9815,0.3927
generic,connectome,standard,2,5,10,0.1747281551361084,0.9781,0.2611
generic,connectome,standard,2,5,11,0.1385069489479065,0.9754,0.2766
generic,connectome,standard,2,5,12,0.1433308944106102,0.9796,0.3432
generic,connectome,standard,2,5,13,0.1579246148467064,0.9686,0.2782
generic,connectome,standard,2,5,14,0.1449298448860645,0.9781,0.2955
generic,connectome,standard,2,5,15,0.1102171391248703,0.9783,0.247
generic,connectome,standard,2,5,16,0.1626374498009681,0.9817,0.2329
generic,connectome,standard,2,5,17,0.135001078248024,0.9771,0.4919
generic,connectome,standard,2,5,18,0.1457919366657734,0.965,0.3086
generic,connectome,standard,2,5,19,0.2039123401045799,0.9642,0.3222
generic,connectome,standard,2,5,20,0.135160319507122,0.977,0.4065
generic,connectome,standard,2,5,21,0.1260108910501003,0.9772,0.2677
generic,connectome,standard,2,5,22,0.1341709308326244,0.9851,0.2451
generic,degree,standard,0,5,1,0.8471387922763824,0.9343,2.089
generic,degree,standard,0,5,2,0.5806131362915039,0.8378,1.107
generic,degree,standard,0,5,3,0.6520615518093109,0.8705,1.1149
generic,degree,standard,0,5,4,0.3709750026464462,0.965,1.1143
generic,degree,standard,0,5,5,0.3004553392529487,0.9455,0.4491
generic,degree,standard,0,5,6,0.3676626235246658,0.949,0.4626
generic,degree,standard,0,5,7,0.2530851513147354,0.9875,0.7035
generic,degree,standard,0,5,8,0.290108822286129,0.9773,0.7421
generic,degree,standard,0,5,9,0.2044634148478508,0.9357,0.558
generic,degree,standard,0,5,10,0.1995103359222412,0.9534,0.4732
generic,degree,standard,0,5,11,0.1454356610774994,0.9827,0.5227
generic,degree,standard,4,5,1,0.7926087081432343,0.9514,1.6597
generic,degree,standard,4,5,2,0.4603400081396103,0.9197,0.8089
generic,degree,standard,4,5,3,0.2669189646840095,0.9542,0.7612
generic,degree,standard,4,5,4,0.2424428910017013,0.9465,0.4201
generic,degree,standard,4,5,5,0.2092464044690132,0.9863,0.3898
generic,degree,standard,4,5,6,0.1612805947661399,0.969,0.3127
generic,degree,standard,4,5,7,0.1994427293539047,0.9723,0.5112
generic,degree,standard,4,5,8,0.1542946323752403,0.983,0.2799
generic,degree,standard,4,5,9,0.1419600360095501,0.9853,0.3982
generic,degree,standard,4,5,10,0.1306503266096115,0.9821,0.2482
generic,degree,standard,4,5,11,0.118622288107872,0.9816,0.3854
generic,degree,standard,4,5,12,0.122768148779869,0.9831,0.2537
generic,degree,standard,4,5,13,0.1070300601422786,0.9806,0.2579
generic,degree,standard,4,5,14,0.1051158905029296,0.9802,0.37
generic,degree,standard,4,5,15,0.1065127663314342,0.9811,0.2464
generic,degree,standard,4,5,16,0.1297421269118785,0.98,0.3341
generic,degree,standard,4,5,17,0.1042757928371429,0.9829,0.3032
generic,degree,standard,4,5,18,0.0958537943661212,0.9772,0.2596
generic,degree,standard,4,5,19,0.1026166044175624,0.9798,0.2993
generic,degree,standard,4,5,20,0.0918775834143161,0.9799,0.2715
generic,degree,standard,4,5,21,0.0949929729104042,0.9775,0.5061
generic,random,standard,2,5,1,0.8842855840921402,0.9457,2.1554
generic,random,standard,2,5,2,0.7552365660667419,0.8914,1.1075
generic,random,standard,2,5,3,1.127044856548309,0.8721,1.2458
generic,random,standard,2,5,4,0.6545700579881668,0.9344,1.5024
generic,random,standard,2,5,5,0.5201841741800308,0.9637,1.2059
generic,random,standard,2,5,6,0.367601715028286,0.9358,0.6719
generic,random,standard,2,5,7,0.5102428495883942,0.9254,0.6975
generic,random,standard,2,5,8,0.464653268456459,0.9781,0.3778
generic,random,standard,2,5,9,0.2775485664606094,0.9668,0.8268
generic,random,standard,2,5,10,0.3637704402208328,0.9386,0.584
generic,random,standard,2,5,11,0.2569189667701721,0.9424,0.4065
generic,random,standard,2,5,12,0.2846214026212692,0.9539,0.4101
generic,random,standard,2,5,13,0.166627824306488,0.9857,0.4014
generic,random,standard,2,5,14,0.1917329207062721,0.976,0.2608
generic,random,standard,2,5,15,0.1858900338411331,0.984,0.2301
generic,random,standard,2,5,16,0.1516462191939354,0.9742,0.3761
generic,random,standard,2,5,17,0.1589709669351577,0.9695,0.3059
generic,random,standard,2,5,18,0.1465211659669876,0.9824,0.2733
generic,random,standard,2,5,19,0.1395686641335487,0.9867,0.1917
generic,random,standard,2,5,20,0.1367081627249717,0.981,0.3024
generic,random,standard,2,5,21,0.1416178941726684,0.972,0.2875
generic,random,standard,2,5,22,0.134546585381031,0.978,0.2878
generic,random,standard,2,5,23,0.1265074536204338,0.983,0.2115
generic,random,standard,2,5,24,0.1205996498465538,0.9837,0.263
generic,random,standard,2,5,25,0.1224834024906158,0.9815,0.2226
generic,spectrum,standard,0,5,1,2.2152448147535324,0.922,4.6523
generic,spectrum,standard,0,5,2,2.655050218105316,0.6551,8.0727
generic,spectrum,standard,0,5,3,3.417369544506073,0.6123,3.5822
generic,spectrum,standard,0,5,4,2.552767276763916,0.591,6.2422
generic,spectrum,standard,0,5,5,3.778067588806152,0.5664,5.4304
generic,spectrum,standard,0,5,6,2.7065922021865845,0.6126,1.8675
generic,spectrum,standard,4,5,1,2.0196404457092285,0.8422,5.1456
generic,spectrum,standard,4,5,2,2.477280139923096,0.8572,2.4233
generic,spectrum,standard,4,5,3,1.1689931452274325,0.9072,4.2736
generic,spectrum,standard,4,5,4,1.3992000818252563,0.7763,2.3764
generic,spectrum,standard,4,5,5,0.5872371792793274,0.6922,0.8088
generic,spectrum,standard,4,5,6,0.9589737504720688,0.6851,3.9384
generic,spectrum,standard,4,5,7,2.9302104711532597,0.6813,3.5781
generic,spectrum,standard,4,5,8,1.5192885100841522,0.9236,1.1003
generic,spectrum,standard,4,5,9,0.3553110510110855,0.901,1.1308
generic,spectrum,standard,4,5,10,0.3803762197494507,0.8971,2.2927
generic,spectrum,standard,4,5,11,0.5964778959751129,0.6675,2.3033
generic,dense,standard,2,5,1,1.5999809056520462,0.6768,5.2759
generic,dense,standard,2,5,2,4.1467931270599365,0.9005,1.3239
generic,dense,standard,2,5,3,1.0099953413009644,0.7637,1.2093
generic,dense,standard,2,5,4,0.6423394083976746,0.9535,0.929
generic,dense,standard,2,5,5,0.4219937771558761,0.8269,0.6779
generic,dense,standard,2,5,6,0.3884673863649368,0.9388,1.0685
generic,dense,standard,2,5,7,0.3956137299537658,0.9215,0.6827
generic,dense,standard,2,5,8,0.3988587260246277,0.9261,1.0865
generic,dense,standard,2,5,9,0.402419313788414,0.9202,0.684
generic,dense,standard,2,5,10,0.4009838998317718,0.8996,1.0426
generic,dense,standard,2,5,11,0.3993583023548126,0.9229,0.6789
bio,adapter_only,standard,0,5,1,0.3648864328861236,0.8617,0.6826
bio,adapter_only,standard,0,5,2,0.3312877267599106,0.8869,0.6189
bio,adapter_only,standard,0,5,3,0.3117443472146988,0.8709,0.5833
bio,adapter_only,standard,0,5,4,0.3045158237218857,0.8656,0.5645
bio,adapter_only,standard,0,5,5,0.3012640178203583,0.8642,0.5554
bio,adapter_only,standard,0,5,6,0.3009959310293197,0.8646,0.5506
bio,adapter_only,standard,0,5,7,0.3004086911678314,0.8664,0.5479
bio,adapter_only,standard,0,5,8,0.2978236675262451,0.8695,0.5468
bio,adapter_only,standard,0,5,9,0.2944789975881576,0.8731,0.5464
bio,adapter_only,standard,0,5,10,0.2905654460191726,0.8777,0.5474
bio,adapter_only,standard,0,5,11,0.2866213768720627,0.8831,0.5499
bio,adapter_only,standard,0,5,12,0.2827947735786438,0.8894,0.554
